# TITLE= "run52_thmin45_thmax85_rv1e19_f0p01_r1.lev2_emiss.dat"
# Coord_Sys CYLIND
x z var inwind i j
5.4078e+16 1.3185e+16 nan -1 3 23
5.4078e+16 1.4865e+16 nan -1 3 24
5.4078e+16 1.6759e+16 nan -1 3 25
5.4078e+16 1.8895e+16 nan -1 3 26
5.4078e+16 2.1303e+16 nan -1 3 27
5.4078e+16 2.4017e+16 nan -1 3 28
5.4078e+16 2.7078e+16 nan -1 3 29
5.4078e+16 3.0529e+16 nan -1 3 30
5.4078e+16 3.4419e+16 nan -1 3 31
5.4078e+16 3.8805e+16 nan -1 3 32
5.4078e+16 4.375e+16 nan -1 3 33
5.4078e+16 4.9325e+16 nan -1 3 34
5.4078e+16 5.561e+16 nan -1 3 35
5.4078e+16 6.2697e+16 nan -1 3 36
5.4078e+16 7.0686e+16 nan -1 3 37
5.4078e+16 7.9694e+16 nan -1 3 38
5.4078e+16 8.985e+16 nan -1 3 39
5.4078e+16 1.013e+17 nan -1 3 40
5.4078e+16 1.1421e+17 nan -1 3 41
5.4078e+16 1.2876e+17 nan -1 3 42
5.4078e+16 1.4517e+17 nan -1 3 43
5.4078e+16 1.6367e+17 nan -1 3 44
5.4078e+16 1.8453e+17 nan -1 3 45
5.4078e+16 2.0804e+17 nan -1 3 46
5.4078e+16 2.3455e+17 nan -1 3 47
5.4078e+16 2.6444e+17 nan -1 3 48
5.4078e+16 2.9814e+17 nan -1 3 49
5.4078e+16 3.3613e+17 nan -1 3 50
5.4078e+16 3.7896e+17 nan -1 3 51
5.4078e+16 4.2725e+17 nan -1 3 52
5.4078e+16 4.817e+17 nan -1 3 53
5.4078e+16 5.4308e+17 nan -1 3 54
5.4078e+16 6.1229e+17 nan -1 3 55
5.4078e+16 6.9031e+17 nan -1 3 56
5.4078e+16 7.7828e+17 nan -1 3 57
5.4078e+16 8.7746e+17 nan -1 3 58
5.4078e+16 9.8927e+17 nan -1 3 59
5.4078e+16 1.1153e+18 nan -1 3 60
5.4078e+16 1.2575e+18 nan -1 3 61
5.4078e+16 1.4177e+18 nan -1 3 62
5.4078e+16 1.5984e+18 nan -1 3 63
5.4078e+16 1.802e+18 nan -1 3 64
5.4078e+16 2.0317e+18 nan -1 3 65
5.4078e+16 2.2906e+18 nan -1 3 66
5.4078e+16 2.5825e+18 nan -1 3 67
5.4078e+16 2.9116e+18 nan -1 3 68
5.4078e+16 3.2826e+18 nan -1 3 69
5.4078e+16 3.7009e+18 nan -1 3 70
5.4078e+16 4.1725e+18 nan -1 3 71
5.4078e+16 4.7042e+18 nan -1 3 72
5.4078e+16 5.3037e+18 nan -1 3 73
5.4078e+16 5.9795e+18 nan -1 3 74
5.4078e+16 6.7415e+18 nan -1 3 75
5.4078e+16 7.6006e+18 nan -1 3 76
5.4078e+16 8.5691e+18 nan -1 3 77
5.4078e+16 9.6611e+18 nan -1 3 78
5.4078e+16 1.0892e+19 nan -1 3 79
5.4078e+16 1.228e+19 nan -1 3 80
5.4078e+16 1.3845e+19 nan -1 3 81
5.4078e+16 1.5609e+19 nan -1 3 82
5.4078e+16 1.7598e+19 nan -1 3 83
5.4078e+16 1.9841e+19 nan -1 3 84
5.4078e+16 2.2369e+19 nan -1 3 85
5.4078e+16 2.522e+19 nan -1 3 86
5.4078e+16 2.8434e+19 nan -1 3 87
5.4078e+16 3.2057e+19 nan -1 3 88
5.4078e+16 3.6142e+19 nan -1 3 89
5.4078e+16 4.0748e+19 nan -1 3 90
5.4078e+16 4.594e+19 nan -1 3 91
5.4078e+16 5.1795e+19 nan -1 3 92
5.4078e+16 5.8395e+19 nan -1 3 93
